CountryName,CountryCode,Year,Total Population,Urban population (% of total)
Thailand,THA,1969,35826803.0,20.668000000000003
Timor-Leste,TMP,1969,589519.0,12.565999999999999
Togo,TGO,1969,2034909.0,20.098
Tonga,TON,1969,82879.0,20.157
Trinidad and Tobago,TTO,1969,937846.0,12.267999999999999
Tunisia,TUN,1969,5031211.0,42.662
Turkey,TUR,1969,33969201.0,37.400999999999996
Turkmenistan,TKM,1969,2126749.0,47.721000000000004
Turks and Caicos Islands,TCA,1969,5573.0,50.763000000000005
Tuvalu,TUV,1969,7213.0,21.392
Uganda,UGA,1969,9162773.0,6.562
Ukraine,UKR,1969,46746668.0,54.042
United Arab Emirates,ARE,1969,205570.0,79.8
United Kingdom,GBR,1969,55441750.0,77.259
United States,USA,1969,202677000.0,73.333
Uruguay,URY,1969,2795044.0,82.164
Uzbekistan,UZB,1969,11599763.0,36.354
Vanuatu,VUT,1969,82941.0,12.12
"Venezuela, RB",VEN,1969,11235492.0,70.92
Vietnam,VNM,1969,41773000.0,17.910999999999998
Virgin Islands (U.S.),VIR,1969,58600.0,68.378
"Yemen, Rep.",YEM,1969,6047230.0,12.815
Zambia,ZMB,1969,4047479.0,29.37
Zimbabwe,ZWE,1969,5036321.0,16.88
Arab World,ARB,1970,121981406.0,38.7771917518396
Caribbean small states,CSS,1970,4882583.0,34.2635475085626
Central Europe and the Baltics,CEB,1970,99133296.0,50.780409860457
East Asia & Pacific (all income levels),EAS,1970,1289398198.0,24.840816805208203
East Asia & Pacific (developing only),EAP,1970,1116250866.0,18.7748809027262
Euro area,EMU,1970,287416203.0,67.1473108283008
Europe & Central Asia (all income levels),ECS,1970,737500170.0,60.776023681518296
Europe & Central Asia (developing only),ECA,1970,183464390.0,45.0650596037354
European Union,EUU,1970,442062264.0,65.6768935347261
Fragile and conflict affected situations,FCS,1970,154210353.0,23.4769601046276
Heavily indebted poor countries (HIPC),HPC,1970,208410359.0,16.2424227511359
High income,HIC,1970,1017505527.0,68.3453832770022
High income: nonOECD,NOC,1970,213932884.0,64.6780346873634
High income: OECD,OEC,1970,803572643.0,69.2554854957625
Latin America & Caribbean (all income levels),LCN,1970,287763515.0,57.0386751119347
Latin America & Caribbean (developing only),LAC,1970,235361548.0,53.2171662667684
Least developed countries: UN classification,LDC,1970,308870065.0,12.807039537764899
Low & middle income,LMY,1970,2667317174.0,24.5580849967898
Low income,LIC,1970,198588590.0,15.255084970662198
Lower middle income,LMC,1970,1186201817.0,22.5040298118897
Middle East & North Africa (all income levels),MEA,1970,138716538.0,42.6364866691454
Middle East & North Africa (developing only),MNA,1970,127571595.0,40.924130498650605
Middle income,MIC,1970,2468728584.0,25.306803327992306
North America,NAC,1970,226431000.0,73.8016579001992
